code_module,code_presentation,id_student,id_site,date,sum_click
FFF,2013B,536147,526801,44,2
FFF,2014J,694716,882649,131,1
FFF,2013J,587294,716643,152,4
BBB,2014J,406000,913515,178,17
FFF,2014J,642843,882713,151,1
EEE,2014J,108497,832565,132,3
FFF,2013J,569712,716682,141,1
CCC,2014B,633250,729671,22,4
FFF,2014B,546071,779089,209,3
CCC,2014J,567888,909240,3,1
DDD,2013B,532745,547272,47,1
EEE,2013J,586621,551021,143,1
BBB,2014B,614738,768351,-3,5
FFF,2014J,582117,882545,26,4
FFF,2014B,501421,779344,127,5
FFF,2013J,594406,716238,132,2
DDD,2014J,639766,813708,170,1
EEE,2014J,378825,832565,29,3
FFF,2014J,615301,882719,212,1
FFF,2013J,508942,716643,135,5
CCC,2014B,625552,729779,63,5
DDD,2013J,519211,673537,227,6
BBB,2014J,600428,913473,35,2
DDD,2013J,582452,674292,232,1
CCC,2014J,595495,909022,228,1
CCC,2014B,634500,729815,153,2
AAA,2013J,2449878,546879,172,1
CCC,2014J,563016,909251,27,2
FFF,2013J,155298,716660,8,2
FFF,2014J,617150,882638,15,2
FFF,2014J,480303,882545,35,2
FFF,2013J,598213,716643,59,1
FFF,2013J,360986,716216,60,2
BBB,2013B,479519,542795,55,4
BBB,2013B,556860,542807,25,1
FFF,2014J,682990,882545,199,1
FFF,2014B,342125,779089,82,1
FFF,2013J,558345,716238,146,11
DDD,2013J,522312,673737,17,10
FFF,2014J,657184,883055,15,2
BBB,2014J,522189,913473,86,3
CCC,2014J,603179,909254,13,1
AAA,2014J,315744,877012,205,3
DDD,2014B,594078,773134,164,2
FFF,2013B,556133,527376,64,1
FFF,2014J,617580,882545,-2,29
CCC,2014J,1915824,909013,100,2
BBB,2014B,630415,768351,58,7
EEE,2013J,588524,551078,187,61
DDD,2013B,500459,547272,4,6
EEE,2014J,698355,832565,105,1
CCC,2014B,585393,729678,230,7
FFF,2014B,626987,779075,0,2
FFF,2013B,552834,527176,67,1
DDD,2014J,687835,813708,-5,3
EEE,2013J,559758,551011,5,11
FFF,2014J,688895,882899,21,1
DDD,2013J,569978,674100,69,3
FFF,2014J,1944167,882545,23,16
CCC,2014J,624256,909066,76,2
EEE,2013J,107339,551011,92,1
EEE,2014J,643705,832566,52,1
DDD,2013B,2133242,547272,-2,1
EEE,2013J,609025,551010,240,1
DDD,2013J,574498,674100,99,1
FFF,2013B,560207,526738,129,1
AAA,2013J,227517,546614,41,2
DDD,2013B,2281292,547272,52,4
FFF,2014J,647417,882674,14,2
DDD,2013B,437281,547272,12,2
FFF,2013B,383316,526735,217,3
FFF,2013J,602713,716238,53,6
FFF,2014J,650866,883045,226,2
FFF,2014J,680322,882551,-3,1
FFF,2014J,416199,882682,236,2
FFF,2013B,353018,526781,211,1
DDD,2013B,559672,547947,81,1
FFF,2013B,559770,526738,209,4
FFF,2014J,569034,941543,134,1
BBB,2014B,626841,768536,135,1
EEE,2013J,407453,551013,134,2
BBB,2013J,575290,703939,92,1
DDD,2013J,548825,673727,67,7
FFF,2013B,553262,527169,29,1
BBB,2013B,554998,542864,117,6
FFF,2013B,363749,527169,166,3
DDD,2013J,2686578,674004,157,1
FFF,2013B,384866,527203,132,1
FFF,2014B,627622,779440,126,4
FFF,2014B,623352,779075,8,1
FFF,2014J,1887108,882674,37,56
FFF,2014B,228729,779075,6,5
FFF,2014J,544745,883055,133,1
FFF,2014B,623687,779075,47,3
EEE,2014B,603832,790828,113,6
DDD,2014B,271974,773122,-5,1
FFF,2013J,335644,716322,20,18
GGG,2014B,626306,798622,198,1
EEE,2014J,690724,832756,131,2
FFF,2013B,398862,526721,51,3
EEE,2014B,634318,790862,19,5
DDD,2014J,496916,936982,162,1
BBB,2014B,479738,768377,69,1
DDD,2014J,692603,813937,2,1
AAA,2013J,2458355,546676,85,2
GGG,2014J,276893,896951,199,1
AAA,2013J,155854,546735,197,1
DDD,2013J,505856,674391,15,1
DDD,2014J,600680,814028,224,2
BBB,2013B,350622,542797,66,3
DDD,2013J,528551,673520,217,1
BBB,2013J,574212,703741,31,4
FFF,2014J,679509,882619,134,2
BBB,2013J,2416774,703737,108,1
FFF,2013B,498554,526847,63,13
DDD,2013J,2032057,673537,165,3
DDD,2013B,559903,547272,219,2
DDD,2014B,1763186,772729,65,7
FFF,2014B,629386,779671,22,2
FFF,2013J,561874,716238,223,11
AAA,2013J,186149,546614,-2,8
CCC,2014J,616386,909100,193,6
BBB,2014J,676151,913734,8,1
CCC,2014J,649816,909090,214,4
FFF,2013J,597293,716217,88,1
DDD,2013J,1497480,673523,8,1
FFF,2014B,604174,779089,197,18
BBB,2013J,583142,703721,219,1
BBB,2013B,549196,542811,229,1
FFF,2014J,677221,882573,13,3
CCC,2014J,61227,909294,191,1
FFF,2014J,695729,883281,-2,1
DDD,2014J,674206,813701,116,2
FFF,2014J,629818,882547,228,8
EEE,2014J,591761,832649,68,8
FFF,2013J,571650,716216,0,2
BBB,2013J,607914,703737,99,1
FFF,2013J,340647,716653,32,3
FFF,2014J,318147,882654,199,6
GGG,2014B,611612,798620,38,2
FFF,2014B,492088,779399,226,11
FFF,2013J,574418,716305,62,1
DDD,2013J,472060,674088,95,1
FFF,2014J,593563,883092,197,1
AAA,2013J,298696,546681,3,4
BBB,2014J,228909,913528,11,1
FFF,2014J,655796,883064,239,5
FFF,2013B,528351,527219,71,1
DDD,2014J,295118,814048,39,1
AAA,2014J,1970390,877030,72,6
CCC,2014B,1474869,729680,223,2
AAA,2013J,398552,546614,138,1
BBB,2013B,418065,542811,51,1
CCC,2014J,630905,909022,169,1
DDD,2014B,2336922,773168,178,1
CCC,2014J,675396,909013,189,2
FFF,2013B,485544,527203,101,1
CCC,2014B,582087,729787,16,1
EEE,2013J,482726,551010,223,3
FFF,2013B,322106,526760,88,1
EEE,2014J,698300,832659,25,5
DDD,2014B,118479,772729,58,1
FFF,2014J,653773,882537,99,7
DDD,2013J,513499,673745,132,1
FFF,2013B,395588,527203,31,1
FFF,2013B,323809,527116,158,3
EEE,2014J,2290886,832565,64,7
CCC,2014J,676650,909292,196,2
CCC,2014B,160300,730035,136,1
FFF,2013B,2578996,527431,9,1
FFF,2014J,370735,882674,92,1
FFF,2013B,554748,526738,9,25
FFF,2014J,686498,882676,214,4
FFF,2014B,108207,779391,150,24
CCC,2014J,684905,909070,73,2
FFF,2014J,678528,882722,35,2
BBB,2013J,599794,703939,222,1
CCC,2014B,630896,730073,37,1
DDD,2013J,502057,674150,15,1
EEE,2014B,274218,790922,11,1
DDD,2013J,258010,674054,113,2
FFF,2013B,392691,527507,17,3
FFF,2013J,543607,716220,29,1
DDD,2013B,382497,547959,213,4
EEE,2013J,610503,551012,199,1
FFF,2013B,342125,527360,26,1
DDD,2013J,315909,673536,233,1
FFF,2014J,656159,882647,-2,14
BBB,2013J,584178,704215,-5,1
FFF,2014B,632927,779427,19,4
FFF,2014B,618667,779089,54,2
CCC,2014B,521614,729678,34,2
DDD,2014B,627416,772735,21,4
BBB,2013B,561167,542810,118,2
EEE,2013J,587906,551011,99,3
CCC,2014B,627399,730115,153,1
DDD,2013J,299473,674075,-8,1
FFF,2013B,548938,526738,39,1
AAA,2014J,2581477,877037,237,2
FFF,2013J,335562,716321,15,20
FFF,2013B,68208,527352,-7,1
DDD,2013B,503120,547272,36,5
CCC,2014J,2691267,909013,211,2
FFF,2014J,380952,883079,22,1
FFF,2013J,567901,716827,-10,2
FFF,2014J,397671,883037,129,1
FFF,2014J,686065,883085,191,1
FFF,2013J,353790,716682,114,2
EEE,2014B,631356,790934,100,1
FFF,2014J,674584,883156,121,1
FFF,2013J,198691,716238,20,12
FFF,2014J,620750,883037,-1,1
FFF,2014B,478073,779424,222,7
FFF,2013B,557891,527241,0,2
BBB,2013J,382979,703721,225,3
FFF,2013J,609220,716238,96,4
DDD,2013J,478744,674392,-7,1
BBB,2013B,553502,542807,175,2
AAA,2013J,2649826,546676,66,3
GGG,2014B,624795,798832,86,1
DDD,2013J,410767,673537,50,1
GGG,2014J,623475,896981,131,12
FFF,2014J,637708,882537,209,4
DDD,2013J,80868,673519,104,2
FFF,2014J,540723,883302,188,4
CCC,2014J,691843,909098,214,1
DDD,2014J,636451,813980,107,1
BBB,2013J,478718,703944,-3,2
FFF,2013J,583824,716636,102,1
EEE,2014J,650164,832695,158,8
CCC,2014J,636783,909232,5,1
EEE,2014J,697461,832567,101,5
FFF,2013B,541327,526721,26,3
GGG,2014J,652578,896980,57,1
DDD,2013B,369908,547546,27,2
BBB,2013J,589302,703898,198,1
FFF,2013J,599289,716219,10,2
GGG,2013J,445086,661599,149,2
DDD,2014J,2338290,813701,33,1
EEE,2014J,591523,832663,61,11
DDD,2013J,581922,673990,207,1
BBB,2013J,604543,704074,12,1
FFF,2013B,549343,527114,15,11
FFF,2013J,567312,716643,55,1
FFF,2014J,642909,883064,228,1
GGG,2014B,630787,798627,193,1
BBB,2014J,697754,926333,37,2
BBB,2014B,1957682,768783,98,1
FFF,2013J,602469,716318,15,7
AAA,2014J,1045203,877030,46,5
EEE,2014B,616386,790835,8,5
CCC,2014J,35508,909013,27,3
EEE,2013J,435277,551013,17,15
FFF,2013J,2182333,716216,9,5
FFF,2013J,570280,716216,43,2
FFF,2013J,608698,716434,174,2
FFF,2014J,656791,882661,87,1
DDD,2013B,166988,547662,15,1
EEE,2014J,649343,832566,115,1
EEE,2014B,1789319,790904,227,1
DDD,2013B,2479086,547275,57,11
CCC,2014J,674882,909232,18,2
FFF,2014B,623537,779075,17,4
DDD,2014J,2516939,813953,2,1
CCC,2014J,560064,909019,22,9
CCC,2014J,561009,909093,17,22
DDD,2013B,544226,547836,8,1
DDD,2013J,578823,673530,45,1
DDD,2013J,390690,674133,131,1
FFF,2014B,590018,779089,151,6
FFF,2013J,2634868,716744,12,1
DDD,2014B,418453,772705,170,1
EEE,2013J,519258,551011,8,8
FFF,2014J,628149,883092,181,1
BBB,2013B,188152,542797,84,4
DDD,2014J,402958,1016372,230,3
EEE,2013J,472290,551011,17,1
FFF,2013J,515888,716219,186,1
DDD,2013B,2374404,547700,14,1
EEE,2013J,528083,551073,142,15
DDD,2014J,495615,814098,25,1
BBB,2013B,501432,542892,72,1
FFF,2013B,550024,527219,2,4
FFF,2013J,610292,716640,-6,4
AAA,2013J,444677,546734,41,4
BBB,2014J,656494,926333,30,1
FFF,2013J,364790,716270,227,1
DDD,2014J,676516,813706,19,2
DDD,2014J,287954,813977,33,2
FFF,2014J,680443,882537,71,18
FFF,2014J,690198,883037,239,1
BBB,2013J,606572,703721,221,2
CCC,2014J,676538,909032,233,8
CCC,2014J,569944,909020,233,1
FFF,2014J,374353,882581,17,10
FFF,2013J,1494577,716678,14,1
FFF,2013J,557655,716238,86,1
AAA,2014J,188278,877069,1,1
DDD,2014B,632898,772729,3,4
BBB,2013B,559495,542811,23,9
FFF,2014J,637004,882622,221,2
DDD,2013J,595396,673519,140,2
FFF,2013B,555250,526853,117,4
FFF,2014J,678859,882656,84,3
GGG,2013J,584143,661575,172,2
FFF,2014B,402806,779351,38,2
EEE,2014B,606182,790923,61,1
BBB,2013J,1939695,703960,171,1
CCC,2014J,648161,909090,179,1
BBB,2013B,548935,543055,54,1
FFF,2014J,1871598,882547,127,6
FFF,2013B,342475,526845,71,1
DDD,2014J,2432655,813710,68,1
CCC,2014J,622374,909020,176,1
FFF,2013J,568132,716433,234,1
FFF,2014J,674699,883092,32,1
DDD,2013B,134025,547838,166,3
FFF,2013B,2600887,527169,149,1
FFF,2014B,313243,779344,105,1
AAA,2013J,137873,546654,155,1
EEE,2014B,620977,790853,11,3
EEE,2013J,2474006,551045,56,4
BBB,2013B,516432,542811,37,1
DDD,2014B,2371311,773304,23,1
BBB,2014J,582964,913466,36,3
CCC,2014J,499420,909018,254,2
FFF,2013B,2510667,526801,40,83
FFF,2013J,581410,716440,3,2
DDD,2013J,576413,673519,16,9
FFF,2013J,546065,716257,219,25
EEE,2014J,693416,832695,145,1
GGG,2014B,632483,798675,87,7
FFF,2014B,501302,779076,-3,3
CCC,2014B,501652,729683,33,1
GGG,2013J,2181700,661598,158,1
BBB,2013B,537473,542864,188,1
CCC,2014J,607047,909060,0,1
AAA,2014J,2642616,877038,-10,1
FFF,2013B,487168,527407,-11,1
BBB,2013J,577376,703732,55,1
FFF,2013B,557445,527398,-11,1
FFF,2014B,2494338,779075,20,1
DDD,2013B,365782,547272,52,2
BBB,2014B,626386,768336,96,1
FFF,2013J,592640,716216,38,5
BBB,2014B,631650,768348,20,1
DDD,2014B,627882,773187,97,4
BBB,2014B,446650,768346,108,1
BBB,2014J,692196,913516,177,2
FFF,2013J,607650,716651,172,1
FFF,2014B,2242595,779652,-6,1
FFF,2013B,396679,526849,87,10
BBB,2014J,642595,913497,123,1
CCC,2014J,620231,909020,16,3
FFF,2013J,597791,716270,181,1
BBB,2014B,569970,768348,55,4
BBB,2014J,497074,913503,81,2
AAA,2013J,495284,546879,242,1
AAA,2013J,256815,546696,226,9
FFF,2014B,626448,779075,187,2
BBB,2014J,657293,913473,14,6
CCC,2014J,694150,909013,-3,3
FFF,2013J,572124,716644,84,2
FFF,2014J,596464,882922,-2,1
DDD,2013J,579717,674118,44,1
BBB,2014J,552698,913734,49,1
FFF,2014J,598939,882547,9,4
FFF,2013B,528992,527106,73,1
EEE,2013J,472290,551011,15,2
FFF,2014J,557085,882547,6,1
DDD,2013J,585098,674302,59,2
FFF,2014J,694428,882682,239,2
FFF,2013B,529689,527266,138,1
BBB,2013J,608041,703741,133,16
FFF,2014J,351147,882937,202,1
CCC,2014B,624441,730035,27,2
FFF,2014J,652684,882609,49,4
FFF,2014B,499813,779812,134,1
FFF,2014J,477833,882577,120,4
DDD,2013J,2485582,673537,45,1
BBB,2014J,493443,985230,203,18
EEE,2013J,144448,551013,195,3
DDD,2014B,624881,772705,125,7
CCC,2014B,605571,729789,16,12
BBB,2014J,1486048,913519,23,2
FFF,2013J,2548055,716245,208,1
DDD,2014J,647166,813929,106,10
FFF,2013B,559058,527115,192,3
CCC,2014J,2396985,909091,144,101
CCC,2014B,1877015,729671,1,3
DDD,2013J,560243,673519,58,1
FFF,2013J,233087,716251,26,1
BBB,2013J,504013,703895,91,2
FFF,2013B,2439239,526738,217,2
FFF,2014J,642740,882573,19,1
DDD,2014J,2257853,813709,111,1
EEE,2014B,571025,790737,25,1
DDD,2013J,597770,673743,-3,8
CCC,2014B,555953,730012,15,1
BBB,2013J,582878,703732,246,1
FFF,2014B,528713,779580,167,1
DDD,2014B,465413,772729,21,4
DDD,2013B,426871,547738,212,1
CCC,2014B,625014,729671,198,4
FFF,2013B,552057,527203,50,1
FFF,2014J,2128283,882676,175,1
BBB,2013B,2293443,542811,189,2
GGG,2013J,586689,661575,111,1
FFF,2013J,2411773,716433,145,1
AAA,2014J,2244332,877026,19,1
FFF,2014B,612549,779433,214,4
FFF,2013J,387507,716862,-3,1
CCC,2014B,596731,729671,36,1
FFF,2013B,559155,527241,-10,1
DDD,2013B,67602,547545,193,3
FFF,2013J,570213,716217,101,1
EEE,2014B,1861830,790887,-5,1
FFF,2014J,381428,882537,2,11
CCC,2014J,72609,909018,152,2
GGG,2013J,610749,661573,136,1
BBB,2014J,138407,913673,14,1
DDD,2013B,2418580,547664,151,2
BBB,2014J,587860,913657,14,1
CCC,2014B,1930644,730035,136,2
FFF,2013J,594360,716216,0,1
AAA,2013J,63400,546614,58,2
EEE,2014J,529670,832659,8,5
DDD,2014J,556514,814049,7,1
CCC,2014J,676964,909032,121,3
AAA,2013J,365642,546647,65,1
FFF,2014J,645840,882550,33,2
DDD,2014J,622597,813701,57,4
FFF,2013J,598478,716216,25,3
DDD,2014J,678240,813939,102,1
BBB,2013B,554352,542864,122,1
AAA,2014J,260623,877061,62,2
AAA,2013J,2084066,546723,26,2
CCC,2014J,322641,909091,143,33
DDD,2014J,623289,814082,37,1
AAA,2014J,2494700,877025,-24,3
FFF,2014J,680443,883064,148,1
FFF,2013B,359417,526796,125,1
BBB,2013J,555061,703721,45,3
FFF,2013J,279085,716433,235,1
DDD,2013B,173004,547730,115,1
DDD,2013J,559140,674099,100,1
EEE,2014J,652501,832659,28,1
BBB,2013J,265170,703732,1,4
BBB,2013J,518223,703737,5,1
EEE,2014J,307953,832565,26,4
FFF,2013B,1772429,526858,132,1
FFF,2014J,579686,882545,12,3
BBB,2014B,533077,768348,89,4
EEE,2014J,689250,832662,70,1
EEE,2014B,632389,790738,138,1
EEE,2014J,332945,832715,93,1
FFF,2013J,402662,716327,127,20
CCC,2014B,518862,730012,5,1
BBB,2014B,624406,768336,186,2
EEE,2013J,943374,551012,170,4
BBB,2013B,538221,542811,228,2
FFF,2014J,2140300,941543,121,1
FFF,2013J,116499,716827,15,1
FFF,2014J,581659,883092,124,2
DDD,2013B,558290,547946,162,3
EEE,2014B,70537,790740,108,1
DDD,2013B,555408,547539,124,10
DDD,2014J,260077,814029,144,1
DDD,2014J,269856,813958,210,1
EEE,2014J,651930,832565,-5,5
AAA,2013J,111717,546736,220,2
FFF,2014J,650054,883041,15,2
GGG,2014B,615404,798622,234,1
DDD,2013B,550865,547932,189,1
AAA,2013J,2694424,546650,99,1
CCC,2014J,621884,909018,100,1
FFF,2014J,678088,882675,28,45
AAA,2014J,424577,877030,25,4
FFF,2014J,679036,882537,240,3
BBB,2013B,199520,542811,74,2
EEE,2013J,590744,551172,12,3
FFF,2013J,342953,716261,4,24
FFF,2014J,613899,882617,6,1
GGG,2014J,546724,896981,179,1
EEE,2014B,35340,790732,123,1
FFF,2014J,234661,882563,92,15
DDD,2013B,298040,547869,76,1
FFF,2014J,87264,883037,51,4
CCC,2014J,689164,909321,240,2
FFF,2013J,601681,716216,26,1
DDD,2013J,350949,673519,-1,2
FFF,2013J,604379,716238,164,1
FFF,2013B,529493,526735,33,1
FFF,2014J,564770,883282,-11,1
DDD,2013J,419517,673519,32,3
FFF,2013J,577222,716643,25,3
DDD,2013J,595601,673519,11,2
DDD,2013J,571951,673745,137,4
BBB,2013J,2452289,703737,89,3
BBB,2013B,2617999,543235,223,1
